Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
5735,028981,Brother LC-600Y inktcartridge geel (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,5.0,1.0,0.0,8718237000510,871823700051.0,8718237000510.0
6866,028982,Brother LC-600Y reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,5.0,2.0,7.0,8718237000527,871823700052.0,8718237000527.0
5740,028991,Brother LC-700BK inktcartridge zwart (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,5.0,3.0,4.0,8718237000534,871823700053.0,8718237000534.0
6867,028992,Brother LC-700BK reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,5.0,4.0,1.0,8718237000541,871823700054.0,8718237000541.0
5741,029001,Brother LC-700C inktcartridge cyaan (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,5.0,5.0,8.0,8718237000558,871823700055.0,8718237000558.0
6868,029002,Brother LC-700C reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,5.0,6.0,5.0,8718237000565,871823700056.0,8718237000565.0
5742,029011,Brother LC-700M inktcartridge magenta (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,5.0,7.0,2.0,8718237000572,871823700057.0,8718237000572.0
6869,029012,Brother LC-700M reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,5.0,8.0,9.0,8718237000589,871823700058.0,8718237000589.0
5743,029021,Brother LC-700Y inktcartridge geel (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,5.0,9.0,6.0,8718237000596,871823700059.0,8718237000596.0
6870,029022,Brother LC-700Y reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,6.0,0.0,2.0,8718237000602,871823700060.0,8718237000602.0
5736,028361,Brother LC-800BK inktcartridge zwart (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,6.0,1.0,9.0,8718237000619,871823700061.0,8718237000619.0
6871,028362,Brother LC-800BK reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,6.0,2.0,6.0,8718237000626,871823700062.0,8718237000626.0
5737,028371,Brother LC-800C inktcartridge cyaan (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,6.0,3.0,3.0,8718237000633,871823700063.0,8718237000633.0
6872,028372,Brother LC-800C reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,6.0,4.0,0.0,8718237000640,871823700064.0,8718237000640.0
5738,028381,Brother LC-800M inktcartridge magenta (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,6.0,5.0,7.0,8718237000657,871823700065.0,8718237000657.0
6873,028382,Brother LC-800M reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,6.0,6.0,4.0,8718237000664,871823700066.0,8718237000664.0
5739,028391,Brother LC-800Y inktcartridge geel (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,6.0,7.0,1.0,8718237000671,871823700067.0,8718237000671.0
6874,028392,Brother LC-800Y reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,6.0,8.0,8.0,8718237000688,871823700068.0,8718237000688.0
6858,028341,Brother LC-900BK inktcartridge zwart (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,6.0,9.0,5.0,8718237000695,871823700069.0,8718237000695.0
6875,028342,Brother LC-900BK reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,8718237000701,871823700070.0,8718237000701.0
6860,028346,Brother LC-900C inktcartridge cyaan (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,7.0,1.0,8.0,8718237000718,871823700071.0,8718237000718.0
6876,028347,Brother LC-900C reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,7.0,2.0,5.0,8718237000725,871823700072.0,8718237000725.0
6859,028351,Brother LC-900M inktcartridge magenta (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,7.0,3.0,2.0,8718237000732,871823700073.0,8718237000732.0
6877,028352,Brother LC-900M reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,7.0,4.0,9.0,8718237000749,871823700074.0,8718237000749.0
6861,028356,Brother LC-900Y inktcartridge geel (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,7.0,5.0,6.0,8718237000756,871823700075.0,8718237000756.0
6878,028357,Brother LC-900Y reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,7.0,6.0,3.0,8718237000763,871823700076.0,8718237000763.0
12371,125901,Brother LC900 aanbiedingsdoosje ** voorraadsysteem **,Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,7.0,7.0,0.0,8718237000770,871823700077.0,8718237000770.0
12372,125911,Brother LC970 / 1000 aanbiedingsdoosje ** voorraadsysteem **,Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,7.0,8.0,7.0,8718237000787,871823700078.0,8718237000787.0
